,merchant_code,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
12219,1314.0,4190000.0,999984.0,0.0,0.0,1.0,100.0,15.0,31.0
12220,2762.0,5000000.0,999996.0,0.0,0.0,1.0,99.0,29.0,34.0
12221,2763.0,4700000.0,999998.0,0.0,0.0,2.0,100.0,20.0,43.0
12222,1033.0,4750000.0,999957.0,0.0,0.0,2.0,100.0,14.0,45.0
12223,2763.0,4700000.0,999998.0,0.0,0.0,2.0,100.0,20.0,43.0
12224,1023.0,4400000.0,999999.0,0.0,0.0,1.0,100.0,62.0,74.0
12225,1011.0,4988500.0,9951.0,0.0,0.0,1.0,100.0,34.0,49.0
12226,57.0,4199000.0,999999.0,0.0,0.0,2.0,100.0,28.0,39.0
12227,1023.0,4400000.0,999999.0,0.0,0.0,1.0,100.0,62.0,74.0
12228,1325.0,5000000.0,999953.0,0.0,0.0,1.0,100.0,22.0,56.0
12229,1033.0,4750000.0,999957.0,0.0,0.0,5.0,100.0,14.0,45.0
12230,2739.0,5200000.0,1.0,0.0,0.0,2.0,100.0,31.0,44.0
12231,1329.0,4972000.0,999999.0,0.0,0.0,2.0,100.0,40.0,40.0
12232,1033.0,4750000.0,999957.0,0.0,0.0,4.0,100.0,14.0,45.0
12233,2620.0,4500000.0,2.0,0.0,0.0,1.0,100.0,24.0,34.0
12234,875.0,3399000.0,9992.0,0.0,0.0,321.0,95.0,304.0,662.0
12235,931.0,3899000.0,28.0,0.0,0.0,2.0,100.0,20.0,28.0
12236,1187.0,7000000.0,999982.0,0.0,0.0,3.0,100.0,23.0,46.0
12237,1326.0,4750000.0,27.0,0.0,0.0,1.0,100.0,28.0,43.0
12238,1225.0,5025000.0,999893.0,0.0,0.0,12.0,96.0,23.0,116.0
12239,2739.0,5200000.0,1.0,0.0,0.0,3.0,100.0,31.0,44.0
12240,2764.0,4300000.0,999970.0,0.0,0.0,3.0,100.0,24.0,47.0
12241,3.0,3099900.0,999999.0,0.0,0.0,1.0,98.0,22.0,34.0
12242,2657.0,5000000.0,9984.0,0.0,0.0,2.0,100.0,19.0,77.0
12243,948.0,4500000.0,999982.0,0.0,0.0,5.0,100.0,48.0,74.0
12244,2757.0,4599000.0,2.0,0.0,0.0,1.0,100.0,23.0,36.0
12245,1187.0,7000000.0,999982.0,0.0,0.0,3.0,100.0,23.0,46.0
12246,2511.0,5000000.0,999980.0,0.0,0.0,6.0,96.0,31.0,41.0
12247,875.0,3399000.0,9992.0,0.0,0.0,188.0,95.0,304.0,662.0
12248,1033.0,4750000.0,999957.0,0.0,0.0,3.0,100.0,14.0,45.0
12249,512.0,6800000.0,999986.0,0.0,0.0,3.0,100.0,31.0,50.0
12250,2759.0,5100000.0,999961.0,0.0,0.0,9.0,100.0,22.0,67.0
12251,2765.0,4950000.0,999995.0,0.0,0.0,2.0,100.0,20.0,27.0
12252,1019.0,4989000.0,999900.0,0.0,0.0,1.0,100.0,51.0,101.0
12253,888.0,4975000.0,999819.0,-4975000.0,-1.0,8.0,100.0,67.0,180.0
12254,1033.0,4750000.0,999957.0,0.0,0.0,3.0,100.0,14.0,45.0
12255,875.0,3049000.0,999999.0,0.0,0.0,8.0,94.0,133.0,267.0
12256,9.0,3325000.0,999926.0,3325000.0,1.0,68.0,94.0,57.0,129.0
12257,2766.0,4500000.0,999948.0,0.0,0.0,0.0,100.0,18.0,69.0
12258,2767.0,4000000.0,999972.0,0.0,0.0,1.0,100.0,20.0,27.0
12259,876.0,3399000.0,45.0,0.0,0.0,12.0,99.0,41.0,76.0
12260,1106.0,4988000.0,32.0,0.0,0.0,4.0,100.0,19.0,19.0
